provincia_id,provincia_nombre,genero,anio_cambio,cantidad
94,Tierra del Fuego,F,2013,2
94,Tierra del Fuego,F,2014,2
94,Tierra del Fuego,M,2014,1
94,Tierra del Fuego,F,2015,2
94,Tierra del Fuego,F,2016,3
94,Tierra del Fuego,M,2016,2
94,Tierra del Fuego,F,2017,3
94,Tierra del Fuego,M,2017,3
94,Tierra del Fuego,F,2018,1
94,Tierra del Fuego,M,2018,7
94,Tierra del Fuego,M,2019,7
94,Tierra del Fuego,F,2020,1
94,Tierra del Fuego,M,2020,6
94,Tierra del Fuego,F,2021,2
94,Tierra del Fuego,M,2021,13
94,Tierra del Fuego,X,2021,2
94,Tierra del Fuego,F,2022,6
94,Tierra del Fuego,M,2022,9
94,Tierra del Fuego,X,2022,7
94,Tierra del Fuego,F,2023,7
94,Tierra del Fuego,M,2023,17
94,Tierra del Fuego,X,2023,6
94,Tierra del Fuego,M,2024,1
94,Tierra del Fuego,X,2024,2
90,Tucumán,F,2012,66
90,Tucumán,M,2012,6
90,Tucumán,F,2013,57
90,Tucumán,M,2013,7
90,Tucumán,F,2014,33
90,Tucumán,M,2014,4
90,Tucumán,F,2015,32
90,Tucumán,M,2015,4
90,Tucumán,F,2016,22
90,Tucumán,M,2016,6
90,Tucumán,F,2017,39
90,Tucumán,M,2017,11
90,Tucumán,F,2018,25
90,Tucumán,M,2018,18
90,Tucumán,F,2019,29
90,Tucumán,M,2019,20
90,Tucumán,F,2020,27
90,Tucumán,M,2020,23
90,Tucumán,F,2021,52
90,Tucumán,M,2021,29
90,Tucumán,X,2021,5
90,Tucumán,F,2022,34
90,Tucumán,M,2022,27
90,Tucumán,X,2022,11
90,Tucumán,F,2023,42
90,Tucumán,M,2023,40
90,Tucumán,X,2023,12
90,Tucumán,F,2024,3
90,Tucumán,M,2024,1
90,Tucumán,X,2024,3
